id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-10T00:56:45;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-10T05:22:40;5801
2;2023-01-09T19:10:56;Idaho calculating model;ISSUED;CREDIT_CARD;2023-01-09T21:25:53;75071
3;2023-01-09T17:56:54;program SQL;CANCELLED;CREDIT_CARD;2023-01-09T16:36:18;79944
4;2023-01-10T04:51:01;Soft Central;PAID;CASH_ON_DELIVERY;2023-01-10T02:06:42;8068
5;2023-01-10T08:57:53;Bhutanese;CANCELLED;PAYPAL;2023-01-10T10:47:26;87472
6;2023-01-09T21:34:21;Engineer Shirt Court;CANCELLED;PAYPAL;2023-01-10T13:18:48;62834
7;2023-01-10T09:06:43;program transmitting parse;PAID;CREDIT_CARD;2023-01-10T00:07:01;38509
8;2023-01-09T23:48:19;Dynamic iterate;PAID;CREDIT_CARD;2023-01-09T20:05:07;6085
9;2023-01-09T16:42:02;black Maine;PAID;CREDIT_CARD;2023-01-09T19:24:07;11254
10;2023-01-10T05:57:23;Lead Well;CANCELLED;PAYPAL;2023-01-09T19:14:31;85804
