id;placed_date;status;code
1;2023-01-10T08:20:43;COMPLETED;Electronics
2;2023-01-10T02:42:42;COMPLETED;payment PCI violet
3;2023-01-10T13:11:35;CANCELLED;background out-of-the-box withdrawal
4;2023-01-09T17:14:36;COMPLETED;Music real-time
5;2023-01-10T01:18:45;CANCELLED;Hat
6;2023-01-10T14:03:33;PENDING;solid navigating
7;2023-01-09T23:59:19;PENDING;Toys maroon
8;2023-01-10T12:48:53;COMPLETED;Developer
9;2023-01-09T20:17:17;COMPLETED;Credit Soft Cotton
10;2023-01-10T10:59:53;CANCELLED;contingency Bedfordshire
